distid,schoolid_stateassigned,distname,schoolname,enroll_raw_TX,pp_stloc_raw_TX
188901,188901110,AMARILLO ISD,CARVER EARLY CHILDHOOD ACADEMY,358,8330.380185
188901,188901170,AMARILLO ISD,CARVER EL ACADEMY,327,8688.873966
188901,188901104,AMARILLO ISD,CORONADO EL,499,6823.995947
188901,188901043,AMARILLO ISD,CROCKETT MIDDLE,892,6904.02791
188901,188901105,AMARILLO ISD,EASTRIDGE EL,759,7510.865626
188901,188901106,AMARILLO ISD,EMERSON EL,520,7869.919356
188901,188901044,AMARILLO ISD,FANNIN MIDDLE,677,7872.407544
188901,188901107,AMARILLO ISD,FOREST HILL EL,540,8064.369498
188901,188901108,AMARILLO ISD,GLENWOOD EL,433,7516.073548
188901,188901109,AMARILLO ISD,HAMLET EL,344,8990.210411
188901,188901171,AMARILLO ISD,HOMEBOUND,NRD,NRD
188901,188901045,AMARILLO ISD,HOUSTON MIDDLE,671,9743.690266
188901,188901111,AMARILLO ISD,HUMPHREY'S HIGHLAND EL,593,7115.307856
188901,188901050,AMARILLO ISD,JOHNNY N ALLEN-6TH GRADE CAMPUS,236,9081.576592
188901,188901112,AMARILLO ISD,LAMAR EL,316,8094.192822
188901,188901113,AMARILLO ISD,LANDERGIN EL,277,8469.547389
188901,188901114,AMARILLO ISD,LAWNDALE EL,387,7268.938447
188901,188901115,AMARILLO ISD,LEE EL,312,8599.45333
188901,188901049,AMARILLO ISD,LORENZO DE ZAVALA MIDDLE,422,8221.542633
188901,188901046,AMARILLO ISD,MANN MIDDLE,482,9128.99872
188901,188901134,AMARILLO ISD,MESA VERDE EL,468,7803.563373
188901,188901138,AMARILLO ISD,NORTH HEIGHTS ALTER,76,41733.67583
188901,188901119,AMARILLO ISD,OAK DALE EL,417,7869.805456
188901,188901120,AMARILLO ISD,OLSEN PARK EL,428,7001.592828
188901,188901004,AMARILLO ISD,PALO DURO H S,1993,8169.904185
188901,188901121,AMARILLO ISD,PARAMOUNT TERRACE EL,362,8764.777898
188901,188901122,AMARILLO ISD,PLEASANT VALLEY EL,271,8530.372279
188901,188901139,AMARILLO ISD,PUCKETT EL,381,7261.368609
188901,188901123,AMARILLO ISD,RIDGECREST EL,417,7601.488909
188901,188901124,AMARILLO ISD,ROGERS EL,555,8082.257436
188901,188901126,AMARILLO ISD,SAN JACINTO EL,597,7638.661728
188901,188901125,AMARILLO ISD,SANBORN EL,476,8783.650513
188901,188901140,AMARILLO ISD,SLEEPY HOLLOW EL,550,7623.755929
188901,188901127,AMARILLO ISD,SOUTH GEORGIA EL,451,6906.479078
188901,188901128,AMARILLO ISD,SOUTH LAWN EL,423,7088.450625
188901,188901130,AMARILLO ISD,SUNRISE EL,267,8708.77676
188901,188901005,AMARILLO ISD,TASCOSA H S,2339,7704.53513
188901,188901143,AMARILLO ISD,TRADEWIND EL,669,6848.505115
188901,188901053,AMARILLO ISD,TRAVIS 6TH GRADE CAMPUS,384,6692.157056
188901,188901047,AMARILLO ISD,TRAVIS MIDDLE,707,7301.661391
188901,188901131,AMARILLO ISD,WESTERN PLATEAU EL,424,7488.535938
188901,188901132,AMARILLO ISD,WHITTIER EL,538,7241.520971
188901,188901133,AMARILLO ISD,WILLS EL,562,7585.229963
188901,188901141,AMARILLO ISD,WINDSOR EL,524,8275.983889
188901,188901135,AMARILLO ISD,WOLFLIN EL,410,7230.357348
188901,188901142,AMARILLO ISD,WOODLANDS EL,402,6961.523699
84804,84804101,AMBASSADORS PREPARATORY ACADEMY,AMBASSADORS PREPARATORY ACADEMY,309,7963.074434
140901,140901001,AMHERST ISD,AMHERST SCHOOL,142,13016.8662
101819,101819001,AMIGOS POR VIDA-FRIENDS FOR LIFE P,AMIGOS POR VIDA-FRIENDS FOR LIFE C,494,7964.303644
36901,36901101,ANAHUAC ISD,ANAHUAC EL,647,7474.766107
36901,36901001,ANAHUAC ISD,ANAHUAC H S,353,11717.27544
36901,36901041,ANAHUAC ISD,ANAHUAC MIDDLE,320,10052.97815
36901,36901006,ANAHUAC ISD,DISCIPLINARY ALTERNATIVE EDUCATION,4,16950.7719
93901,93901101,ANDERSON-SHIRO CISD,ANDERSON-SHIRO EL,403,7511.70419
93901,93901001,ANDERSON-SHIRO CISD,ANDERSON-SHIRO JR/SR H S,476,9601.267251
2901,2901002,ANDREWS ISD,ANDREWS EDUCATION CENTER,41,21139.45864
2901,2901001,ANDREWS ISD,ANDREWS H S,1143,9215.706813
2901,2901041,ANDREWS ISD,ANDREWS MIDDLE,1026,7049.773719
2901,2901105,ANDREWS ISD,CLEARFORK EL,821,7070.981503
2901,2901101,ANDREWS ISD,DEVONIAN EL,609,7834.019218
2901,2901104,ANDREWS ISD,UNDERWOOD EL,674,7567.372336
20902,20902001,ANGLETON ISD,ANGLETON H S,1924,8320.691439
20902,20902044,ANGLETON ISD,ANGLETON J H SCHOOL,1492,7237.774311
20902,20902003,ANGLETON ISD,BRAZORIA CO ALTER ED CTR,3,134655.2131
